游戏名,历史在线峰值,steam商店链接
反恐精英VR,"17,527",https://store.steampowered.com/app/555160
看火人,"17,521",https://store.steampowered.com/app/383870
雷神之锤：冠军,"17,332",https://store.steampowered.com/app/611500
#Have A Sticker,"17,173",https://store.steampowered.com/app/841860
速跑者,"17,131",https://store.steampowered.com/app/207140
守墓人,"16,973",https://store.steampowered.com/app/599140
孤岛惊魂4,"16,946",https://store.steampowered.com/app/298110
Riders of Icarus,"16,814",https://store.steampowered.com/app/442080
The God's Chain,"16,656",https://store.steampowered.com/app/504490
看门狗2,"16,644",https://store.steampowered.com/app/447040
饥荒,"16,556",https://store.steampowered.com/app/219740
黑暗逃生,"16,503",https://store.steampowered.com/app/466240
Space Pilgrim Episode I: Alpha Centauri,"16,412",https://store.steampowered.com/app/429470
军团1944,"16,341",https://store.steampowered.com/app/489940
红色管弦乐队2：斯大林格勒英雄 风起云涌,"16,311",https://store.steampowered.com/app/35450
Ace of Spades: Battle Builder,"16,306",https://store.steampowered.com/app/224540
贪婪之秋,"16,292",https://store.steampowered.com/app/606880
监狱建筑师,"16,211",https://store.steampowered.com/app/233450
奇异人生：暴风前夕,"16,127",https://store.steampowered.com/app/554620
吸血鬼,"16,087",https://store.steampowered.com/app/427290
13号星期五,"16,077",https://store.steampowered.com/app/438740
德军总部II：新巨像,"16,050",https://store.steampowered.com/app/612880
城堡破坏者,"15,960",https://store.steampowered.com/app/204360
Yu-Gi-Oh! Duel Links,"15,903",https://store.steampowered.com/app/601510
挺进地牢,"15,767",https://store.steampowered.com/app/311690
黑色小队,"15,766",https://store.steampowered.com/app/550650
暴行,"15,739",https://store.steampowered.com/app/362960
奇异领域,"15,667",https://store.steampowered.com/app/305050
刺客信条4：黑旗,"15,606",https://store.steampowered.com/app/242050
地铁：离乡,"15,375",https://store.steampowered.com/app/412020
感染：生存故事,"15,345",https://store.steampowered.com/app/226700
使命召唤13：无限战争,"15,312",https://store.steampowered.com/app/292730
ROMANCE OF THE THREE KINGDOMS XIV,"15,181",https://store.steampowered.com/app/872410
X4：基石,"15,074",https://store.steampowered.com/app/392160
传送门2,"14,984",https://store.steampowered.com/app/620
草甸,"14,940",https://store.steampowered.com/app/486310
狙击精英4,"14,918",https://store.steampowered.com/app/312660
刺客信条3,"14,913",https://store.steampowered.com/app/208480
NBA 2K17,"14,844",https://store.steampowered.com/app/385760
无冬Online,"14,822",https://store.steampowered.com/app/109600
孤岛惊魂：原始杀戮,"14,702",https://store.steampowered.com/app/371660
X重生,"14,664",https://store.steampowered.com/app/2870
陷阵之志,"14,573",https://store.steampowered.com/app/590380
万智对决,"14,544",https://store.steampowered.com/app/316010
AI: Rampage,"14,496",https://store.steampowered.com/app/438020
灵魂能力6,"14,486",https://store.steampowered.com/app/544750
叛乱：沙漠风暴,"14,469",https://store.steampowered.com/app/581320
漫漫长夜,"14,390",https://store.steampowered.com/app/305620
梦幻老爹：约会模拟,"14,336",https://store.steampowered.com/app/654880
掠夺英雄DX,"14,306",https://store.steampowered.com/app/294040
战斗砖块剧场,"14,269",https://store.steampowered.com/app/238460
数据黑客：起始,"14,265",https://store.steampowered.com/app/311860
死亡比特,"14,137",https://store.steampowered.com/app/303390
与狼同行,"14,130",https://store.steampowered.com/app/250320
黑暗与光明,"14,029",https://store.steampowered.com/app/529180
方块方舟,"14,014",https://store.steampowered.com/app/593600
猎杀：对决,"14,003",https://store.steampowered.com/app/594650
万智牌：旅法师对决2015,"14,003",https://store.steampowered.com/app/255420
连环清洁工,"13,958",https://store.steampowered.com/app/522210
特殊行动：一线生机,"13,940",https://store.steampowered.com/app/50300
僵尸战争,"13,915",https://store.steampowered.com/app/555570
Conjuntalia,"13,889",https://store.steampowered.com/app/619340
气球塔防6,"13,880",https://store.steampowered.com/app/960090
风起云涌2：越南,"13,870",https://store.steampowered.com/app/418460
战争前线,"13,867",https://store.steampowered.com/app/291480
街头霸王5,"13,807",https://store.steampowered.com/app/310950
Skull Rush,"13,737",https://store.steampowered.com/app/587210
皇牌空战7：未知空域,"13,680",https://store.steampowered.com/app/502500
真人快打X,"13,649",https://store.steampowered.com/app/307780
统治者：罗马,"13,616",https://store.steampowered.com/app/859580
狂怒2,"13,591",https://store.steampowered.com/app/548570
Pixel Painter,"13,568",https://store.steampowered.com/app/648120
幽闭圣地2,"13,560",https://store.steampowered.com/app/210770
失落月球,"13,507",https://store.steampowered.com/app/406090
海岛大亨5,"13,445",https://store.steampowered.com/app/245620
浮岛物语,"13,403",https://store.steampowered.com/app/751780
So Many Cubes,"13,382",https://store.steampowered.com/app/513590
阿尔比恩OL,"13,312",https://store.steampowered.com/app/761890
伤害世界,"13,291",https://store.steampowered.com/app/393420
Terra Incognita ~ Chapter One: The Descendant,"13,281",https://store.steampowered.com/app/347560
国王的统治,"13,278",https://store.steampowered.com/app/344760
Rabiez: Epidemic,"13,277",https://store.steampowered.com/app/448630
异形：殖民军,"13,266",https://store.steampowered.com/app/49540
波西亚时光,"13,265",https://store.steampowered.com/app/666140
最终幻想X/X-2 高清重制版,"13,247",https://store.steampowered.com/app/359870
德波尼亚：完整旅程,"13,161",https://store.steampowered.com/app/292910
Tumblestone,"13,135",https://store.steampowered.com/app/269710
奥日与黑暗森林,"13,091",https://store.steampowered.com/app/261570
Goodbye My King,"12,974",https://store.steampowered.com/app/647410
脏弹,"12,963",https://store.steampowered.com/app/333930
地心游记,"12,954",https://store.steampowered.com/app/382120
龙珠超2,"12,930",https://store.steampowered.com/app/454650
巫师2：国王刺客加强版,"12,864",https://store.steampowered.com/app/20920
Kingdoms of Amalur: Reckoning™,"12,787",https://store.steampowered.com/app/102500
RoBoRumble,"12,734",https://store.steampowered.com/app/420970
F1 2019周年版,"12,671",https://store.steampowered.com/app/928600
圣铠传说,"12,669",https://store.steampowered.com/app/258970
使命召唤：高级战争 黄金版,"12,649",https://store.steampowered.com/app/209650
反抗,"12,642",https://store.steampowered.com/app/224600
淘汰,"12,622",https://store.steampowered.com/app/437220
巫师加强版（导演剪辑）,"12,577",https://store.steampowered.com/app/20900
使命召唤：幽灵,"12,575",https://store.steampowered.com/app/209160
黑暗领域2,"12,568",https://store.steampowered.com/app/67370
狂热运输,"12,517",https://store.steampowered.com/app/446800
Darwin Project,"12,513",https://store.steampowered.com/app/544920
影子武士2,"12,484",https://store.steampowered.com/app/324800
地牢守护者,"12,467",https://store.steampowered.com/app/65800
孤岛惊魂：新曙光,"12,369",https://store.steampowered.com/app/939960
Radical Heights,"12,314",https://store.steampowered.com/app/809960
以撒的结合,"12,295",https://store.steampowered.com/app/113200
Elems,"12,284",https://store.steampowered.com/app/528670
飙酷车神,"12,180",https://store.steampowered.com/app/241560
Tomato Way,"12,156",https://store.steampowered.com/app/565860
QUBIC,"12,136",https://store.steampowered.com/app/509000
天生战狂,"12,070",https://store.steampowered.com/app/394230
行尸走肉,"12,067",https://store.steampowered.com/app/207610
战锤40K：星际战士,"12,060",https://store.steampowered.com/app/55150
黑暗之魂2：原罪学者,"12,051",https://store.steampowered.com/app/335300
Awesomenauts,"12,050",https://store.steampowered.com/app/204300
热血无赖,"12,032",https://store.steampowered.com/app/202170
合金装备崛起：复仇,"11,964",https://store.steampowered.com/app/235460
Tropico 6,"11,907",https://store.steampowered.com/app/492720
分裂门：竞技场,"11,901",https://store.steampowered.com/app/677620
揍击派对,"11,890",https://store.steampowered.com/app/880940
索尼克：狂欢,"11,883",https://store.steampowered.com/app/584400
三国志13,"11,879",https://store.steampowered.com/app/363150
ORBITAL,"11,861",https://store.steampowered.com/app/506670
生化危机6,"11,836",https://store.steampowered.com/app/221040
德军总部：新秩序,"11,808",https://store.steampowered.com/app/201810
The Dreamlord,"11,801",https://store.steampowered.com/app/412290
Last Man Standing,"11,776",https://store.steampowered.com/app/506540
魔能,"11,717",https://store.steampowered.com/app/42910
勇者斗恶龙11：寻觅逝去的时光,"11,702",https://store.steampowered.com/app/742120
侠盗猎车手IV,"11,696",https://store.steampowered.com/app/12210
地下城 2,"11,691",https://store.steampowered.com/app/262280
逃生,"11,684",https://store.steampowered.com/app/238320
RISK: Global Domination,"11,650",https://store.steampowered.com/app/1128810
时空裂痕,"11,647",https://store.steampowered.com/app/39120
龙之勇者,"11,552",https://store.steampowered.com/app/279720
Conqueror's Blade,"11,532",https://store.steampowered.com/app/905370
Fairyland: Fairy Power,"11,486",https://store.steampowered.com/app/555940
战术小队,"11,456",https://store.steampowered.com/app/393380
丧尸围城3：天启版,"11,398",https://store.steampowered.com/app/265550
兽人必须死2,"11,371",https://store.steampowered.com/app/201790
太空弃舰：死亡之翼,"11,250",https://store.steampowered.com/app/298900
黑暗之魂：受死版,"11,248",https://store.steampowered.com/app/211420
Super Mustache,"11,226",https://store.steampowered.com/app/438180
怪诞扑克夜2,"11,178",https://store.steampowered.com/app/234710
脱逃者2,"11,156",https://store.steampowered.com/app/641990
纪元2070,"11,140",https://store.steampowered.com/app/48240
围攻,"11,120",https://store.steampowered.com/app/346010
第三次世界大战,"11,021",https://store.steampowered.com/app/674020
泰坦之旅 十周年纪念版,"11,018",https://store.steampowered.com/app/475150
神话时代：扩展版,"11,010",https://store.steampowered.com/app/266840
上古卷轴5：天际VR,"11,000",https://store.steampowered.com/app/611670
梦幻弹球3D,"10,933",https://store.steampowered.com/app/215790
Nether: Resurrected,"10,930",https://store.steampowered.com/app/247730
SoulWorker,"10,919",https://store.steampowered.com/app/630100
创世纪,"10,880",https://store.steampowered.com/app/280790
地狱已满,"10,869",https://store.steampowered.com/app/224260
狙击精英3,"10,861",https://store.steampowered.com/app/238090
海岛大亨4,"10,860",https://store.steampowered.com/app/57690
房产达人,"10,851",https://store.steampowered.com/app/613100
人间地狱,"10,843",https://store.steampowered.com/app/686810
尘埃：拉力赛,"10,836",https://store.steampowered.com/app/310560
深海惊魂,"10,775",https://store.steampowered.com/app/274940
Operation Breakout®,"10,732",https://store.steampowered.com/app/546660
"Hamlet or the Last Game without MMORPG Features, Shaders ...","10,710",https://store.steampowered.com/app/222160
二之国2：亡灵之国,"10,708",https://store.steampowered.com/app/589360
Stoneshard,"10,697",https://store.steampowered.com/app/625960
赛车计划,"10,688",https://store.steampowered.com/app/234630
仁王 完全版,"10,588",https://store.steampowered.com/app/485510
剑士,"10,579",https://store.steampowered.com/app/233860
全面战争：幕府将军2,"10,549",https://store.steampowered.com/app/34330
狂怒,"10,510",https://store.steampowered.com/app/9200
帝国：全面战争,"10,479",https://store.steampowered.com/app/10500
Streamline,"10,463",https://store.steampowered.com/app/252850
传说之下,"10,462",https://store.steampowered.com/app/391540
